real_id,matched_sample_id,chamfer_before,chamfer_after,latent_shift,avg_point_disp
106a0dbaead5066519fb4103277a6b93,5229,0.05033619701862335,0.0029657864943146706,2.1441097259521484,0.10877152654092417
103b75dfd146976563ed57e35c972b4b,5414,0.06541541963815689,0.005684019532054663,1.9848809242248535,0.15462559920647556
11e0f0dfd3d0b22130ddb6ead95f49cc,5229,0.04217521473765373,0.004221347160637379,2.2930145263671875,0.16628287124762386
117bd6da01905949a81116f5456ee312,5229,0.044078003615140915,0.003733706194907427,2.5222551822662354,0.1682378763121271
1049953406c81b237eaeab1f0c9120b7,5229,0.06085377559065819,0.0035892995074391365,2.2980732917785645,0.1432350994564713
174019d47144a9462fa77440dcb93214,5229,0.049663789570331573,0.003499044105410576,2.275388717651367,0.13102942431483905
103d77d63f0d68a044e6721e9db29c1b,5229,0.06063045561313629,0.003003138117492199,2.014991044998169,0.12348849157716836
11506b96d41f7d3dd7c4a943f33e0384,5229,0.05017960071563721,0.003030620515346527,1.9355438947677612,0.1433503661327581
112cee32461c31d1d84b8ba651dfb8ac,5229,0.0431506372988224,0.0025930781848728657,2.23738431930542,0.12754990876527644
11a06e6f68b1d99c8687ff9b0b4e4ac,7777,0.038199033588171005,0.0027106329798698425,2.343480110168457,0.18893548852017866
